"Plot Title: #6 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10344489, SEN S/N: 10344489, LBL: C)","Coupler Detached (LGR S/N: 10344489)","Coupler Attached (LGR S/N: 10344489)","Host Connected (LGR S/N: 10344489)","Stopped (LGR S/N: 10344489)","End Of File (LGR S/N: 10344489)"
183,07/11/19 12:30:00  PM,31.484,,,,,
184,07/11/19 12:45:00  PM,31.484,,,,,
185,07/11/19 01:00:00  PM,31.459,,,,,
186,07/11/19 01:15:00  PM,31.382,,,,,
187,07/11/19 01:30:00  PM,31.331,,,,,
188,07/11/19 01:45:00  PM,31.255,,,,,
189,07/11/19 02:00:00  PM,31.204,,,,,
190,07/11/19 02:15:00  PM,31.128,,,,,
191,07/11/19 02:30:00  PM,31.077,,,,,
192,07/11/19 02:45:00  PM,30.976,,,,,
193,07/11/19 03:00:00  PM,30.900,,,,,
194,07/11/19 03:15:00  PM,30.849,,,,,
195,07/11/19 03:30:00  PM,30.748,,,,,
196,07/11/19 03:45:00  PM,30.672,,,,,
197,07/11/19 04:00:00  PM,30.571,,,,,
198,07/11/19 04:15:00  PM,30.495,,,,,
199,07/11/19 04:30:00  PM,30.394,,,,,
200,07/11/19 04:45:00  PM,30.293,,,,,
201,07/11/19 05:00:00  PM,30.318,,,,,
202,07/11/19 05:15:00  PM,30.394,,,,,
203,07/11/19 05:30:00  PM,30.469,,,,,
204,07/11/19 05:45:00  PM,30.545,,,,,
205,07/11/19 06:00:00  PM,30.596,,,,,
206,07/11/19 06:15:00  PM,30.646,,,,,
207,07/11/19 06:30:00  PM,30.672,,,,,
208,07/11/19 06:45:00  PM,30.722,,,,,
209,07/11/19 07:00:00  PM,30.748,,,,,
210,07/11/19 07:15:00  PM,30.748,,,,,
211,07/11/19 07:30:00  PM,30.748,,,,,
212,07/11/19 07:45:00  PM,30.722,,,,,
213,07/11/19 08:00:00  PM,30.697,,,,,
214,07/11/19 08:15:00  PM,30.646,,,,,
215,07/11/19 08:30:00  PM,30.621,,,,,
216,07/11/19 08:45:00  PM,30.571,,,,,
217,07/11/19 09:00:00  PM,30.520,,,,,
218,07/11/19 09:15:00  PM,30.469,,,,,
219,07/11/19 09:30:00  PM,30.444,,,,,
220,07/11/19 09:45:00  PM,30.394,,,,,
221,07/11/19 10:00:00  PM,30.343,,,,,
222,07/11/19 10:15:00  PM,30.293,,,,,
223,07/11/19 10:30:00  PM,30.268,,,,,
224,07/11/19 10:45:00  PM,30.217,,,,,
225,07/11/19 11:00:00  PM,30.167,,,,,
226,07/11/19 11:15:00  PM,30.142,,,,,
227,07/11/19 11:30:00  PM,30.091,,,,,
228,07/11/19 11:45:00  PM,30.192,,,,,
229,07/12/19 12:00:00  AM,30.343,,,,,
230,07/12/19 12:15:00  AM,30.469,,,,,
231,07/12/19 12:30:00  AM,30.596,,,,,
232,07/12/19 12:45:00  AM,30.697,,,,,
233,07/12/19 01:00:00  AM,30.824,,,,,
234,07/12/19 01:15:00  AM,30.925,,,,,
235,07/12/19 01:30:00  AM,31.026,,,,,
236,07/12/19 01:45:00  AM,30.976,,,,,
237,07/12/19 02:00:00  AM,30.849,,,,,
238,07/12/19 02:15:00  AM,30.748,,,,,
239,07/12/19 02:30:00  AM,30.646,,,,,
240,07/12/19 02:45:00  AM,30.545,,,,,
241,07/12/19 03:00:00  AM,30.444,,,,,
242,07/12/19 03:15:00  AM,30.369,,,,,
243,07/12/19 03:30:00  AM,30.268,,,,,
244,07/12/19 03:45:00  AM,30.192,,,,,
245,07/12/19 04:00:00  AM,30.117,,,,,
246,07/12/19 04:15:00  AM,30.142,,,,,
247,07/12/19 04:30:00  AM,30.268,,,,,
248,07/12/19 04:45:00  AM,30.419,,,,,
249,07/12/19 05:00:00  AM,30.520,,,,,
250,07/12/19 05:15:00  AM,30.621,,,,,
251,07/12/19 05:30:00  AM,30.722,,,,,
252,07/12/19 05:45:00  AM,30.798,,,,,
253,07/12/19 06:00:00  AM,30.874,,,,,
254,07/12/19 06:15:00  AM,30.950,,,,,
255,07/12/19 06:30:00  AM,31.001,,,,,
256,07/12/19 06:45:00  AM,31.052,,,,,
257,07/12/19 07:00:00  AM,30.925,,,,,
258,07/12/19 07:15:00  AM,30.798,,,,,
259,07/12/19 07:30:00  AM,30.672,,,,,
260,07/12/19 07:45:00  AM,30.571,,,,,
261,07/12/19 08:00:00  AM,30.495,,,,,
262,07/12/19 08:15:00  AM,30.444,,,,,
263,07/12/19 08:30:00  AM,30.419,,,,,
264,07/12/19 08:45:00  AM,30.444,,,,,
265,07/12/19 09:00:00  AM,30.571,,,,,
266,07/12/19 09:15:00  AM,30.672,,,,,
267,07/12/19 09:30:00  AM,30.773,,,,,
268,07/12/19 09:45:00  AM,30.849,,,,,
269,07/12/19 10:00:00  AM,30.950,,,,,
270,07/12/19 10:15:00  AM,31.077,,,,,
271,07/12/19 10:30:00  AM,31.153,,,,,
272,07/12/19 10:45:00  AM,31.230,,,,,
273,07/12/19 11:00:00  AM,31.331,,,,,
274,07/12/19 11:15:00  AM,31.382,,,,,
275,07/12/19 11:30:00  AM,31.408,,,,,
276,07/12/19 11:45:00  AM,31.357,,,,,
277,07/12/19 12:00:00  PM,31.230,,,,,
278,07/12/19 12:15:00  PM,31.128,,,,,
279,07/12/19 12:30:00  PM,30.976,,,,,
280,07/12/19 12:45:00  PM,30.874,,,,,
281,07/12/19 01:00:00  PM,30.874,,,,,
282,07/12/19 01:15:00  PM,30.697,,,,,
283,07/12/19 01:30:00  PM,30.520,,,,,
284,07/12/19 01:45:00  PM,30.495,,,,,
285,07/12/19 02:00:00  PM,30.343,,,,,
286,07/12/19 02:15:00  PM,30.394,,,,,
287,07/12/19 02:30:00  PM,30.369,,,,,
288,07/12/19 02:45:00  PM,30.495,,,,,
289,07/12/19 03:00:00  PM,30.520,,,,,
290,07/12/19 03:15:00  PM,30.520,,,,,
291,07/12/19 03:30:00  PM,30.520,,,,,
292,07/12/19 03:45:00  PM,30.545,,,,,
293,07/12/19 04:00:00  PM,30.469,,,,,
294,07/12/19 04:15:00  PM,30.369,,,,,
295,07/12/19 04:30:00  PM,30.318,,,,,
296,07/12/19 04:45:00  PM,30.369,,,,,
297,07/12/19 05:00:00  PM,30.293,,,,,
298,07/12/19 05:15:00  PM,30.268,,,,,
299,07/12/19 05:30:00  PM,30.293,,,,,
300,07/12/19 05:45:00  PM,30.369,,,,,
301,07/12/19 06:00:00  PM,30.318,,,,,
302,07/12/19 06:15:00  PM,30.293,,,,,
303,07/12/19 06:30:00  PM,30.217,,,,,
304,07/12/19 06:45:00  PM,30.117,,,,,
305,07/12/19 07:00:00  PM,30.142,,,,,
306,07/12/19 07:15:00  PM,30.268,,,,,
307,07/12/19 07:30:00  PM,30.419,,,,,
308,07/12/19 07:45:00  PM,30.545,,,,,
309,07/12/19 08:00:00  PM,30.646,,,,,
310,07/12/19 08:15:00  PM,30.722,,,,,
311,07/12/19 08:30:00  PM,30.824,,,,,
312,07/12/19 08:45:00  PM,30.874,,,,,
313,07/12/19 09:00:00  PM,30.925,,,,,
314,07/12/19 09:15:00  PM,30.976,,,,,
315,07/12/19 09:30:00  PM,31.001,,,,,
316,07/12/19 09:45:00  PM,31.026,,,,,
317,07/12/19 10:00:00  PM,31.052,,,,,
318,07/12/19 10:15:00  PM,30.976,,,,,
319,07/12/19 10:30:00  PM,30.798,,,,,
320,07/12/19 10:45:00  PM,30.646,,,,,
321,07/12/19 11:00:00  PM,30.520,,,,,
322,07/12/19 11:15:00  PM,30.419,,,,,
323,07/12/19 11:30:00  PM,30.318,,,,,
324,07/12/19 11:45:00  PM,30.217,,,,,
325,07/13/19 12:00:00  AM,30.142,,,,,
326,07/13/19 12:15:00  AM,30.066,,,,,
327,07/13/19 12:30:00  AM,30.192,,,,,
328,07/13/19 12:45:00  AM,30.343,,,,,
329,07/13/19 01:00:00  AM,30.469,,,,,
330,07/13/19 01:15:00  AM,30.571,,,,,
331,07/13/19 01:30:00  AM,30.646,,,,,
332,07/13/19 01:45:00  AM,30.722,,,,,
333,07/13/19 02:00:00  AM,30.798,,,,,
334,07/13/19 02:15:00  AM,30.874,,,,,
335,07/13/19 02:30:00  AM,30.950,,,,,
336,07/13/19 02:45:00  AM,31.001,,,,,
337,07/13/19 03:00:00  AM,31.052,,,,,
338,07/13/19 03:15:00  AM,30.976,,,,,
339,07/13/19 03:30:00  AM,30.798,,,,,
340,07/13/19 03:45:00  AM,30.646,,,,,
341,07/13/19 04:00:00  AM,30.495,,,,,
342,07/13/19 04:15:00  AM,30.369,,,,,
343,07/13/19 04:30:00  AM,30.268,,,,,
344,07/13/19 04:45:00  AM,30.192,,,,,
345,07/13/19 05:00:00  AM,30.117,,,,,
346,07/13/19 05:15:00  AM,30.117,,,,,
347,07/13/19 05:30:00  AM,30.243,,,,,
348,07/13/19 05:45:00  AM,30.343,,,,,
349,07/13/19 06:00:00  AM,30.444,,,,,
350,07/13/19 06:15:00  AM,30.545,,,,,
351,07/13/19 06:30:00  AM,30.646,,,,,
352,07/13/19 06:45:00  AM,30.722,,,,,
353,07/13/19 07:00:00  AM,30.798,,,,,
354,07/13/19 07:15:00  AM,30.900,,,,,
355,07/13/19 07:30:00  AM,31.001,,,,,
356,07/13/19 07:45:00  AM,31.077,,,,,
357,07/13/19 08:00:00  AM,31.001,,,,,
358,07/13/19 08:15:00  AM,30.925,,,,,
359,07/13/19 08:30:00  AM,30.773,,,,,
360,07/13/19 08:45:00  AM,30.773,,,,,
361,07/13/19 09:00:00  AM,30.874,,,,,
362,07/13/19 09:15:00  AM,30.748,,,,,
363,07/13/19 09:30:00  AM,30.748,,,,,
364,07/13/19 09:45:00  AM,30.874,,,,,
365,07/13/19 10:00:00  AM,30.824,,,,,
366,07/13/19 10:15:00  AM,31.026,,,,,
367,07/13/19 10:30:00  AM,31.052,,,,,
368,07/13/19 10:45:00  AM,31.204,,,,,
369,07/13/19 11:00:00  AM,31.331,,,,,
370,07/13/19 11:15:00  AM,31.484,,,,,
371,07/13/19 11:30:00  AM,31.382,,,,,
372,07/13/19 11:45:00  AM,31.306,,,,,
373,07/13/19 12:00:00  PM,31.255,,,,,
374,07/13/19 12:15:00  PM,31.204,,,,,
375,07/13/19 12:30:00  PM,31.179,,,,,
376,07/13/19 12:45:00  PM,31.153,,,,,
377,07/13/19 01:00:00  PM,31.153,,,,,
378,07/13/19 01:15:00  PM,31.128,,,,,
379,07/13/19 01:30:00  PM,31.103,,,,,
380,07/13/19 01:45:00  PM,31.103,,,,,
381,07/13/19 02:00:00  PM,31.077,,,,,
382,07/13/19 02:15:00  PM,31.001,,,,,
383,07/13/19 02:30:00  PM,30.925,,,,,
384,07/13/19 02:45:00  PM,30.824,,,,,
385,07/13/19 03:00:00  PM,30.874,,,,,
386,07/13/19 03:15:00  PM,30.874,,,,,
387,07/13/19 03:30:00  PM,30.874,,,,,
388,07/13/19 03:45:00  PM,30.874,,,,,
389,07/13/19 04:00:00  PM,30.798,,,,,
390,07/13/19 04:15:00  PM,30.798,,,,,
391,07/13/19 04:30:00  PM,30.798,,,,,
392,07/13/19 04:45:00  PM,30.773,,,,,
393,07/13/19 05:00:00  PM,30.672,,,,,
394,07/13/19 05:15:00  PM,30.596,,,,,
395,07/13/19 05:30:00  PM,30.545,,,,,
396,07/13/19 05:45:00  PM,30.469,,,,,
397,07/13/19 06:00:00  PM,30.394,,,,,
398,07/13/19 06:15:00  PM,30.318,,,,,
399,07/13/19 06:30:00  PM,30.243,,,,,
400,07/13/19 06:45:00  PM,30.217,,,,,
401,07/13/19 07:00:00  PM,30.343,,,,,
402,07/13/19 07:15:00  PM,30.469,,,,,
403,07/13/19 07:30:00  PM,30.545,,,,,
404,07/13/19 07:45:00  PM,30.596,,,,,
405,07/13/19 08:00:00  PM,30.646,,,,,
406,07/13/19 08:15:00  PM,30.672,,,,,
407,07/13/19 08:30:00  PM,30.722,,,,,
408,07/13/19 08:45:00  PM,30.722,,,,,
409,07/13/19 09:00:00  PM,30.748,,,,,
410,07/13/19 09:15:00  PM,30.773,,,,,
411,07/13/19 09:30:00  PM,30.798,,,,,
412,07/13/19 09:45:00  PM,30.824,,,,,
413,07/13/19 10:00:00  PM,30.824,,,,,
414,07/13/19 10:15:00  PM,30.849,,,,,
415,07/13/19 10:30:00  PM,30.849,,,,,
416,07/13/19 10:45:00  PM,30.824,,,,,
417,07/13/19 11:00:00  PM,30.798,,,,,
