"Plot Title: #5 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10579595, SEN S/N: 10579595, LBL: Celsius)","Coupler Detached (LGR S/N: 10579595)","Coupler Attached (LGR S/N: 10579595)","Host Connected (LGR S/N: 10579595)","Stopped (LGR S/N: 10579595)","End Of File (LGR S/N: 10579595)"
336,07/13/19 02:45:00  AM,26.867,,,,,
337,07/13/19 03:00:00  AM,26.867,,,,,
338,07/13/19 03:15:00  AM,26.867,,,,,
339,07/13/19 03:30:00  AM,26.842,,,,,
340,07/13/19 03:45:00  AM,26.842,,,,,
341,07/13/19 04:00:00  AM,26.818,,,,,
342,07/13/19 04:15:00  AM,26.818,,,,,
343,07/13/19 04:30:00  AM,26.818,,,,,
344,07/13/19 04:45:00  AM,26.818,,,,,
345,07/13/19 05:00:00  AM,26.818,,,,,
346,07/13/19 05:15:00  AM,26.818,,,,,
347,07/13/19 05:30:00  AM,26.818,,,,,
348,07/13/19 05:45:00  AM,26.818,,,,,
349,07/13/19 06:00:00  AM,26.793,,,,,
350,07/13/19 06:15:00  AM,26.793,,,,,
351,07/13/19 06:30:00  AM,26.793,,,,,
352,07/13/19 06:45:00  AM,26.793,,,,,
353,07/13/19 07:00:00  AM,26.793,,,,,
354,07/13/19 07:15:00  AM,26.818,,,,,
355,07/13/19 07:30:00  AM,26.867,,,,,
356,07/13/19 07:45:00  AM,26.916,,,,,
357,07/13/19 08:00:00  AM,26.965,,,,,
358,07/13/19 08:15:00  AM,27.087,,,,,
359,07/13/19 08:30:00  AM,27.112,,,,,
360,07/13/19 08:45:00  AM,27.333,,,,,
361,07/13/19 09:00:00  AM,27.604,,,,,
362,07/13/19 09:15:00  AM,27.530,,,,,
363,07/13/19 09:30:00  AM,27.628,,,,,
364,07/13/19 09:45:00  AM,27.825,,,,,
365,07/13/19 10:00:00  AM,27.776,,,,,
366,07/13/19 10:15:00  AM,28.023,,,,,
367,07/13/19 10:30:00  AM,28.072,,,,,
368,07/13/19 10:45:00  AM,28.245,,,,,
369,07/13/19 11:00:00  AM,28.394,,,,,
370,07/13/19 11:15:00  AM,28.568,,,,,
371,07/13/19 11:30:00  AM,28.717,,,,,
372,07/13/19 11:45:00  AM,28.866,,,,,
373,07/13/19 12:00:00  PM,28.965,,,,,
374,07/13/19 12:15:00  PM,29.115,,,,,
375,07/13/19 12:30:00  PM,29.040,,,,,
376,07/13/19 12:45:00  PM,28.667,,,,,
377,07/13/19 01:00:00  PM,28.345,,,,,
378,07/13/19 01:15:00  PM,28.493,,,,,
379,07/13/19 01:30:00  PM,28.642,,,,,
380,07/13/19 01:45:00  PM,28.866,,,,,
381,07/13/19 02:00:00  PM,29.040,,,,,
382,07/13/19 02:15:00  PM,29.090,,,,,
383,07/13/19 02:30:00  PM,29.015,,,,,
384,07/13/19 02:45:00  PM,28.543,,,,,
385,07/13/19 03:00:00  PM,28.295,,,,,
386,07/13/19 03:15:00  PM,28.468,,,,,
387,07/13/19 03:30:00  PM,28.642,,,,,
388,07/13/19 03:45:00  PM,28.816,,,,,
389,07/13/19 04:00:00  PM,28.891,,,,,
390,07/13/19 04:15:00  PM,29.040,,,,,
391,07/13/19 04:30:00  PM,28.841,,,,,
392,07/13/19 04:45:00  PM,28.444,,,,,
393,07/13/19 05:00:00  PM,28.147,,,,,
394,07/13/19 05:15:00  PM,28.270,,,,,
395,07/13/19 05:30:00  PM,28.394,,,,,
396,07/13/19 05:45:00  PM,28.493,,,,,
397,07/13/19 06:00:00  PM,28.568,,,,,
398,07/13/19 06:15:00  PM,28.617,,,,,
399,07/13/19 06:30:00  PM,28.667,,,,,
400,07/13/19 06:45:00  PM,28.742,,,,,
401,07/13/19 07:00:00  PM,28.766,,,,,
402,07/13/19 07:15:00  PM,28.791,,,,,
403,07/13/19 07:30:00  PM,28.766,,,,,
404,07/13/19 07:45:00  PM,28.766,,,,,
405,07/13/19 08:00:00  PM,28.742,,,,,
406,07/13/19 08:15:00  PM,28.717,,,,,
407,07/13/19 08:30:00  PM,28.667,,,,,
408,07/13/19 08:45:00  PM,28.642,,,,,
409,07/13/19 09:00:00  PM,28.617,,,,,
410,07/13/19 09:15:00  PM,28.593,,,,,
411,07/13/19 09:30:00  PM,28.568,,,,,
412,07/13/19 09:45:00  PM,28.543,,,,,
413,07/13/19 10:00:00  PM,28.518,,,,,
414,07/13/19 10:15:00  PM,28.493,,,,,
415,07/13/19 10:30:00  PM,28.468,,,,,
416,07/13/19 10:45:00  PM,28.419,,,,,
417,07/13/19 11:00:00  PM,28.394,,,,,
418,07/13/19 11:15:00  PM,28.345,,,,,
419,07/13/19 11:30:00  PM,28.320,,,,,
420,07/13/19 11:45:00  PM,28.295,,,,,
421,07/14/19 12:00:00  AM,28.270,,,,,
422,07/14/19 12:15:00  AM,28.221,,,,,
423,07/14/19 12:30:00  AM,28.196,,,,,
424,07/14/19 12:45:00  AM,28.171,,,,,
425,07/14/19 01:00:00  AM,28.147,,,,,
426,07/14/19 01:15:00  AM,28.122,,,,,
427,07/14/19 01:30:00  AM,28.072,,,,,
428,07/14/19 01:45:00  AM,28.048,,,,,
429,07/14/19 02:00:00  AM,28.023,,,,,
430,07/14/19 02:15:00  AM,27.998,,,,,
431,07/14/19 02:30:00  AM,27.974,,,,,
432,07/14/19 02:45:00  AM,27.949,,,,,
433,07/14/19 03:00:00  AM,27.924,,,,,
434,07/14/19 03:15:00  AM,27.899,,,,,
435,07/14/19 03:30:00  AM,27.875,,,,,
436,07/14/19 03:45:00  AM,27.850,,,,,
437,07/14/19 04:00:00  AM,27.825,,,,,
438,07/14/19 04:15:00  AM,27.801,,,,,
439,07/14/19 04:30:00  AM,27.776,,,,,
440,07/14/19 04:45:00  AM,27.751,,,,,
441,07/14/19 05:00:00  AM,27.727,,,,,
442,07/14/19 05:15:00  AM,27.727,,,,,
443,07/14/19 05:30:00  AM,27.702,,,,,
444,07/14/19 05:45:00  AM,27.677,,,,,
445,07/14/19 06:00:00  AM,27.653,,,,,
446,07/14/19 06:15:00  AM,27.628,,,,,
447,07/14/19 06:30:00  AM,27.604,,,,,
448,07/14/19 06:45:00  AM,27.604,,,,,
449,07/14/19 07:00:00  AM,27.579,,,,,
450,07/14/19 07:15:00  AM,27.579,,,,,
451,07/14/19 07:30:00  AM,27.604,,,,,
452,07/14/19 07:45:00  AM,27.653,,,,,
453,07/14/19 08:00:00  AM,27.702,,,,,
454,07/14/19 08:15:00  AM,27.825,,,,,
455,07/14/19 08:30:00  AM,27.998,,,,,
456,07/14/19 08:45:00  AM,28.196,,,,,
457,07/14/19 09:00:00  AM,28.394,,,,,
458,07/14/19 09:15:00  AM,28.617,,,,,
