"","gene","colors"
"692","Pastreoides25115","turquoise"
"693","Pastreoides56495","turquoise"
"694","Pastreoides23451","turquoise"
"695","Pastreoides19177","turquoise"
"696","Pastreoides39874","turquoise"
"697","Pastreoides60847","turquoise"
"698","Pastreoides50436","turquoise"
"699","Pastreoides21915","turquoise"
"700","Pastreoides32748","turquoise"
"701","Pastreoides15297","turquoise"
"702","Pastreoides11586","turquoise"
"703","Pastreoides15124","turquoise"
"704","Pastreoides15125","turquoise"
"705","Pastreoides15128","turquoise"
"706","Pastreoides51163","turquoise"
"707","Pastreoides08555","brown"
"708","Pastreoides08551","grey"
"709","Pastreoides08553","turquoise"
"710","Pastreoides07118","turquoise"
"711","Pastreoides09604","turquoise"
"712","Pastreoides09602","turquoise"
"713","Pastreoides17181","turquoise"
"714","Pastreoides17185","turquoise"
"715","Pastreoides19917","turquoise"
"716","Pastreoides19916","turquoise"
"717","Pastreoides17188","turquoise"
"718","Pastreoides01455","turquoise"
"719","Pastreoides11347","turquoise"
"720","Pastreoides36547","turquoise"
"721","Pastreoides05609","turquoise"
"722","Pastreoides05603","turquoise"
"723","Pastreoides05607","turquoise"
"724","Pastreoides05604","blue"
"725","Pastreoides05605","turquoise"
"726","Pastreoides37497","turquoise"
"727","Pastreoides37498","turquoise"
"728","Pastreoides37499","turquoise"
"729","Pastreoides10910","turquoise"
"730","Pastreoides37803","turquoise"
"731","Pastreoides21200","blue"
"732","Pastreoides21202","turquoise"
"733","Pastreoides41213","turquoise"
"734","Pastreoides55423","turquoise"
"735","Pastreoides59961","turquoise"
"736","Pastreoides55424","turquoise"
"737","Pastreoides45838","grey"
"738","Pastreoides34854","turquoise"
"739","Pastreoides58615","turquoise"
"740","Pastreoides03131","turquoise"
"741","Pastreoides03136","turquoise"
"742","Pastreoides26800","blue"
"743","Pastreoides56758","turquoise"
"744","Pastreoides48157","blue"
"745","Pastreoides56790","yellow"
"746","Pastreoides00447","blue"
"747","Pastreoides00449","blue"
"748","Pastreoides56796","blue"
"749","Pastreoides44637","turquoise"
"750","Pastreoides16017","turquoise"
"751","Pastreoides43126","blue"
"752","Pastreoides18641","turquoise"
"753","Pastreoides23065","blue"
"754","Pastreoides22911","turquoise"
"755","Pastreoides22913","grey"
"756","Pastreoides43702","turquoise"
"757","Pastreoides22919","turquoise"
"758","Pastreoides48638","turquoise"
"759","Pastreoides48631","turquoise"
"760","Pastreoides48636","turquoise"
"761","Pastreoides48989","turquoise"
"762","Pastreoides48987","turquoise"
"763","Pastreoides16770","turquoise"
"764","Pastreoides16771","turquoise"
"765","Pastreoides49588","turquoise"
"766","Pastreoides49587","blue"
"767","Pastreoides57398","yellow"
"768","Pastreoides57396","turquoise"
"769","Pastreoides57394","turquoise"
"770","Pastreoides57393","turquoise"
"771","Pastreoides57392","grey"
"772","Pastreoides57391","turquoise"
"773","Pastreoides12256","turquoise"
"774","Pastreoides52316","turquoise"
"775","Pastreoides21339","blue"
"776","Pastreoides14164","yellow"
"777","Pastreoides62128","blue"
"778","Pastreoides40472","grey"
"779","Pastreoides11289","grey"
"780","Pastreoides56273","turquoise"
"781","Pastreoides11282","brown"
"782","Pastreoides61213","turquoise"
"783","Pastreoides11131","turquoise"
"784","Pastreoides55098","blue"
"785","Pastreoides55096","turquoise"
"786","Pastreoides55097","turquoise"
"787","Pastreoides41050","turquoise"
"788","Pastreoides07481","grey"
"789","Pastreoides12531","blue"
"790","Pastreoides19709","turquoise"
"791","Pastreoides27429","turquoise"
"792","Pastreoides10666","turquoise"
"793","Pastreoides10664","turquoise"
"794","Pastreoides10660","turquoise"
"795","Pastreoides10661","turquoise"
"796","Pastreoides18073","turquoise"
"797","Pastreoides18071","grey"
"798","Pastreoides53558","blue"
"799","Pastreoides53552","turquoise"
"800","Pastreoides18589","brown"
"801","Pastreoides14296","grey"
"802","Pastreoides14295","turquoise"
"803","Pastreoides14293","blue"
"804","Pastreoides09019","turquoise"
"805","Pastreoides08450","turquoise"
