# Constructed from biom file
#OTU ID	WSH129	WSH130	WSH131	WSH132	WSH133	WSH134	WSH135	WSH136	WSH137	WSH138	WSH139	WSH140	WSH141	WSH142	WSH143	WSH144	WSH145	WSH146	WSH147	WSH148	WSH149	WSH150	WSH151	WSH152	WSH153	WSH154	WSH155	WSH156	WSH157	WSH158	WSH159	WSH160	WSH161	WSH162	WSH163	WSH164	WSH165	WSH166	WSH167	WSH168	WSH169	WSH170	WSH171	WSH172	WSH173
da85d6c8e923ec7d9f565966259129ca	0.0	0.0	0.0	2236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9f8e1aee7fb390437a0ad46f20ae8193	134.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	278.0	159.0	276.0	0.0	0.0	173.0	0.0	0.0	0.0	176.0	108.0	0.0	0.0	0.0	0.0	361.0	0.0
0429a8a999c3238e12bbfaa1714d385e	0.0	0.0	0.0	0.0	0.0	9.0	15.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1535.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	158.0	0.0	0.0	0.0
08657ab3e76148ff257c67c3c0a175e1	0.0	420.0	0.0	951.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	66.0	0.0	0.0	6.0	0.0	0.0	0.0	66.0	8.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	31.0	17.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	71.0	26.0	0.0	0.0	11.0
f420b5340d48941cc0e22ffef62e3df1	121.0	109.0	0.0	277.0	0.0	0.0	157.0	48.0	0.0	207.0	0.0	0.0	0.0	27.0	116.0	12.0	24.0	15.0	0.0	0.0	40.0	0.0	39.0	53.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	215.0	60.0	0.0	0.0	17.0	0.0	0.0	20.0	13.0	51.0	86.0	22.0	17.0
d86b4421c56b0b4af369039a372666fc	29.0	0.0	0.0	172.0	0.0	0.0	187.0	48.0	0.0	325.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	169.0	0.0	232.0	65.0	0.0	112.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	70.0	44.0	107.0	0.0	35.0	0.0	0.0	0.0	0.0	33.0	0.0	92.0	0.0	0.0
10a5151a7518d179cab7adb05f5dc7cd	0.0	0.0	0.0	23.0	0.0	0.0	165.0	82.0	0.0	481.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	147.0	0.0	70.0	57.0	36.0	238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	51.0	17.0	65.0	0.0	0.0	0.0	5.0	21.0	0.0	43.0	0.0	0.0
a47cabd7230797caa3e8bbfc12c2578c	0.0	0.0	0.0	1576.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	25.0	0.0	0.0	0.0
7e85abe0cc8c267c4755ccee3cdaa560	0.0	208.0	265.0	199.0	0.0	0.0	10.0	0.0	8.0	0.0	23.0	8.0	0.0	6.0	437.0	0.0	20.0	0.0	0.0	0.0	50.0	0.0	3.0	313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	11.0	0.0	22.0	0.0	0.0	6.0	19.0	0.0	91.0	14.0	0.0
5a7b179b1b45f0fe2282f260bf073f60	57.0	82.0	34.0	113.0	31.0	48.0	20.0	17.0	98.0	58.0	63.0	35.0	30.0	17.0	8.0	28.0	17.0	10.0	39.0	23.0	12.0	0.0	22.0	15.0	35.0	40.0	15.0	60.0	25.0	44.0	20.0	9.0	29.0	83.0	13.0	33.0	24.0	17.0	35.0	9.0	32.0	92.0	38.0	47.0	53.0
79678655d0c5d4d8703a2e13c051a176	0.0	97.0	0.0	138.0	0.0	0.0	51.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	65.0	18.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	614.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	32.0	87.0	0.0	0.0
