"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"71","Arginine",-3.26393444403304,17.785519133111,21.049453577144,-5.91730371598059,0.00126366025635849,5.67703529803263,-4.63246314341379,-1.89540574465229,"Welch Two Sample t-test","two.sided",0.00305781709454394,"Partial Mortality","Identified"
"72","Asparagine",-2.35093612766978,13.0294542634653,15.380390391135,-8.0849076374155,4.05146304398833e-05,7.99843554359637,-3.02150074672583,-1.68037150861373,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Partial Mortality","Identified"
"73","Betaine",-0.941589842535517,20.3560058060314,21.2975956485669,-2.59421102356167,0.0341747267061887,7.37056416003327,-1.79117900416784,-0.0920006809031915,"Welch Two Sample t-test","two.sided",0.0351725289457854,"Partial Mortality","Identified"
"74","Cellobiose",-1.31213900421236,12.0268882060952,13.3390272103075,-3.72921867681489,0.00805496949516407,6.66296454709332,-2.15274854310523,-0.471529465319492,"Welch Two Sample t-test","two.sided",0.0102319882776408,"Partial Mortality","Identified"
"75","Citrate",-1.1421100260638,12.5780493412023,13.7201593672661,-2.89501901720816,0.0204285149350523,7.85801861380003,-2.05471770990785,-0.229502342219748,"Welch Two Sample t-test","two.sided",0.0223288419057548,"Partial Mortality","Identified"
"76","Dihydroorotate",-0.859806446890682,10.4451907309036,11.3049971777943,-6.6936301346737,0.000260683069966599,7.10952994446783,-1.16259980765787,-0.557013086123492,"Welch Two Sample t-test","two.sided",0.00118568751178357,"Partial Mortality","Identified"
"77","Feature 10",-1.42269755050508,13.1443655337231,14.5670630842282,-5.93141950202186,0.0010123234632425,6.01978121323877,-2.00914139173855,-0.836253709271612,"Welch Two Sample t-test","two.sided",0.00271906606399705,"Partial Mortality","Unknown"
"78","Feature 11",-3.8428865676317,14.6934980748497,18.5363846424814,-6.00880816633793,0.00131151487955972,5.49985022645833,-5.44294250503645,-2.24283063022695,"Welch Two Sample t-test","two.sided",0.00305781709454394,"Partial Mortality","Unknown"
"79","Feature 12",-3.85646444300506,14.6793441899419,18.535808632947,-6.00878514750275,0.00132288540969631,5.48659918742305,-5.46322191218303,-2.24970697382708,"Welch Two Sample t-test","two.sided",0.00305781709454394,"Partial Mortality","Unknown"
"80","Feature 13",-2.10168644911184,12.8059168425863,14.9076032916981,-4.35565675317053,0.00319247479109696,7.12727545645314,-3.23854478863902,-0.964828109584659,"Welch Two Sample t-test","two.sided",0.00528845694500978,"Partial Mortality","Unknown"
"81","Feature 14",-3.5833223683032,16.1925579893748,19.775880357678,-5.93107131814214,0.00227881622619324,4.77095489616433,-5.15906367448012,-2.00758106212628,"Welch Two Sample t-test","two.sided",0.00428417450524329,"Partial Mortality","Unknown"
"82","Feature 15",-3.16333825898784,11.2099253274308,14.3732635864186,-5.95886632285531,0.000398428946404472,7.67090720675859,-4.39671133512937,-1.92996518284631,"Welch Two Sample t-test","two.sided",0.0015700876045033,"Partial Mortality","Unknown"
"83","Feature 16",-3.21106257611082,16.0948810602009,19.3059436363118,-4.71170312955885,0.00258392637732259,6.5682473190809,-4.84429714350224,-1.5778280087194,"Welch Two Sample t-test","two.sided",0.00466772238625943,"Partial Mortality","Unknown"
"84","Feature 17",-3.81256875188052,14.9100228325625,18.7225915844431,-5.70131093911793,0.00202160963872779,5.21236849277104,-5.51070932916384,-2.1144281745972,"Welch Two Sample t-test","two.sided",0.00407209941515169,"Partial Mortality","Unknown"
"85","Feature 22",-2.10747126715168,12.6375666130021,14.7450378801537,-3.93164184094185,0.00759754785398638,6.03979808802157,-3.41699310169442,-0.797949432608946,"Welch Two Sample t-test","two.sided",0.00980615397607754,"Partial Mortality","Unknown"
"86","Feature 23",-1.08133693973116,14.5797495112363,15.6610864509674,-3.97679404523133,0.00665905508723038,6.28214350373327,-1.7395042051634,-0.423169674298917,"Welch Two Sample t-test","two.sided",0.0087750165168176,"Partial Mortality","Unknown"
"87","Feature 25",-1.36349160654086,16.3105863351729,17.6740779417138,-4.1977303066614,0.00314034565683567,7.84416210026606,-2.11511766163856,-0.611865551443153,"Welch Two Sample t-test","two.sided",0.00527129449540273,"Partial Mortality","Unknown"
"88","Feature 26",-1.14008248837614,15.460659090781,16.6007415791571,-3.83939998776249,0.0123278661850016,4.95786319675532,-1.90535385987543,-0.374811116876855,"Welch Two Sample t-test","two.sided",0.0147243717430355,"Partial Mortality","Unknown"
"89","Feature 27",-2.19193755702824,15.2421625382425,17.4341000952708,-3.50326772032365,0.00956910834912299,7.17170840009502,-3.66429374700116,-0.719581367055315,"Welch Two Sample t-test","two.sided",0.0117542834038189,"Partial Mortality","Unknown"
"90","Feature 32",-4.88903521472933,12.4411517002933,17.3301869150227,-3.31652437514,0.0106310287671834,7.98067685744055,-8.28985106684904,-1.48821936260962,"Welch Two Sample t-test","two.sided",0.0129221987601109,"Partial Mortality","Unknown"
"91","Feature 35",-3.2773080466773,17.7705438250901,21.0478518717674,-5.90395438081656,0.00129129655422992,5.66036423624044,-4.6556011092357,-1.89901498411891,"Welch Two Sample t-test","two.sided",0.00305781709454394,"Partial Mortality","Unknown"
"92","Feature 36",-2.03590925505936,13.6435584488979,15.6794677039573,-4.61822562385849,0.00224747405010573,7.21410437728548,-3.07209670514272,-0.999721804976004,"Welch Two Sample t-test","two.sided",0.00428417450524329,"Partial Mortality","Unknown"
"93","Feature 37",-2.87161746583888,12.1376406240983,15.0092580899372,-6.20387846441168,0.000672158039844079,6.29644871315802,-3.99142915895754,-1.75180577272022,"Welch Two Sample t-test","two.sided",0.00211051571775953,"Partial Mortality","Unknown"
"94","Feature 40",-2.44750851816892,13.8760367888122,16.3235453069812,-5.80917393938613,0.000412008804018596,7.94216748323534,-3.42030197126276,-1.47471506507508,"Welch Two Sample t-test","two.sided",0.0015700876045033,"Partial Mortality","Unknown"
"95","Feature 41",-2.21355688151792,16.016003390671,18.2295602721889,-3.95189676952438,0.004274963476402,7.95272711696291,-3.50654551710731,-0.920568245928523,"Welch Two Sample t-test","two.sided",0.00648139623841594,"Partial Mortality","Unknown"
"96","Feature 42",-3.79953159476844,12.0741295443087,15.8736611390772,-6.32004486558472,0.00051010638290744,6.57671779147706,-5.23987348716728,-2.3591897023696,"Welch Two Sample t-test","two.sided",0.00189276315763024,"Partial Mortality","Unknown"
"97","Feature 43",-2.36991594071152,15.7747327135146,18.1446486542261,-5.02100714718691,0.00143337642348312,7.15348584576588,-3.48118262431365,-1.25864925710939,"Welch Two Sample t-test","two.sided",0.00312556755646261,"Partial Mortality","Unknown"
"98","Feature 50",-1.08320969530868,14.2964813949865,15.3796910902952,-3.96668096863757,0.00622077565583765,6.53581816403166,-1.73834844320923,-0.428070947408129,"Welch Two Sample t-test","two.sided",0.00835893810537025,"Partial Mortality","Unknown"
"99","Feature 53",-4.62889109728154,10.9139739004451,15.5428649977267,-6.03895461443779,0.000547556218353515,6.91212293467833,-6.44607000202763,-2.81171219253546,"Welch Two Sample t-test","two.sided",0.00193013566969614,"Partial Mortality","Unknown"
"100","Feature 57",-3.96165688662344,14.09458519119,18.0562420778135,-5.6063314312446,0.00242661905350286,5.04407678198461,-5.77336844851683,-2.14994532473005,"Welch Two Sample t-test","two.sided",0.00450201692820925,"Partial Mortality","Unknown"
"101","Feature 58",-4.20207752091114,15.2250991523879,19.427176673299,-5.62479884619055,0.00303642961768323,4.67932728639166,-6.16272995161084,-2.24142509021144,"Welch Two Sample t-test","two.sided",0.00515827200112452,"Partial Mortality","Unknown"
"102","Feature 59",-2.49021839234246,10.1747807763214,12.6649991686639,-4.99842982227234,0.00623481740938365,4.28959628708402,-3.83738217806206,-1.14305460662286,"Welch Two Sample t-test","two.sided",0.00835893810537025,"Partial Mortality","Unknown"
"103","Feature 6",-4.85271954381132,11.601330507264,16.4540500510753,-5.1995337859351,0.0038261431688832,4.83362240853102,-7.27689314617799,-2.42854594144465,"Welch Two Sample t-test","two.sided",0.00592841963530254,"Partial Mortality","Unknown"
"104","Feature 61",-3.73020749312348,14.603134348345,18.3333418414685,-5.70318497805319,0.00227543976127906,5.02571412182281,-5.40893016057319,-2.05148482567377,"Welch Two Sample t-test","two.sided",0.00428417450524329,"Partial Mortality","Unknown"
